// Dump of all classes for "csgo" as at 2023/04/03
//

CFireSmoke - _firesmoke
CPlasma - _plasma
CBaseEntity - ai_ally_speech_manager
CBaseEntity - ai_battle_line
CBaseEntity - ai_changehintgroup
CBaseEntity - ai_changetarget
CBaseEntity - ai_goal_assault
CBaseEntity - ai_goal_fightfromcover
CBaseEntity - ai_goal_follow
CBaseEntity - ai_goal_lead
CBaseEntity - ai_goal_lead_weapon
CBaseEntity - ai_goal_standoff
CBaseEntity - ai_hint
CBaseEntity - ai_network
CBaseEntity - ai_script_conditions
CBaseEntity - ai_sound
CBaseEntity - ai_speechfilter
CBaseEntity - aiscripted_schedule
CAI_BaseNPC - aitesthull
CBaseEntity - ambient_generic
CEconEntity - ammo_338mag
CEconEntity - ammo_357sig
CEconEntity - ammo_357sig_np_reserve
CEconEntity - ammo_357sig_p250
CEconEntity - ammo_357sig_small
CEconEntity - ammo_45acp
CEconEntity - ammo_50ae
CEconEntity - ammo_556mm
CEconEntity - ammo_556mm_box
CEconEntity - ammo_556mm_small
CEconEntity - ammo_57mm
CEconEntity - ammo_762mm
CEconEntity - ammo_9mm
CEconEntity - ammo_buckshot
CBaseEntity - assault_assaultpoint
CBaseEntity - assault_rallypoint
CBaseAnimating - baseprojectile
CBeam - beam
CBeamSpotlight - beam_spotlight
CBreachChargeProjectile - breachcharge_projectile
CBumpMineProjectile - bumpmine_projectile
CFEPlayerDecal - cfe_player_decal
CChicken - chicken
CColorCorrection - color_correction
CColorCorrectionVolume - color_correction_volume
CBaseEntity - commentary_auto
CCSPlayer - cs_bot
CCSGameRulesProxy - cs_gamerules
CCSPlayerResource - cs_player_manager
CCSRagdoll - cs_ragdoll
CCSTeam - cs_team_manager
CAI_BaseNPC - cycler
CAI_BaseNPC - cycler_actor
CAI_BaseNPC - cycler_blender
CBaseFlex - cycler_flex
CWeaponCycler - cycler_weapon
CAI_BaseNPC - cycler_wreckage
CDangerZoneController - dangerzone_controller
CDangerZone - dangerzone_entity
CDecoyProjectile - decoy_projectile
CDrone - drone
CDronegun - dronegun
CDynamicProp - dynamic_prop
CPropDoorRotating - dz_door
CSnowballPile - ent_snowball_pile
CBaseEntity - entity_blocker
CEntityFlame - entityflame
CEnvAmbientLight - env_ambient_light
CBeam - env_beam
CBaseEntity - env_beverage
CBaseEntity - env_blood
CBaseEntity - env_bubbles
CCascadeLight - env_cascade_light
CBaseEntity - env_credits
CBaseEntity - env_debughistory
CEnvDetailController - env_detail_controller
CEnvDOFController - env_dof_controller
CBaseEntity - env_dustpuff
DustTrail - env_dusttrail
CBaseAnimating - env_effectscript
CEmbers - env_embers
CEntityDissolve - env_entity_dissolver
CEntityFreezing - env_entity_freezing
CBaseEntity - env_entity_igniter
CBaseEntity - env_entity_maker
CBaseEntity - env_explosion
CBaseEntity - env_fade
CBaseEntity - env_fire
CFireTrail - env_fire_trail
CBaseEntity - env_firesensor
CBaseEntity - env_firesource
CFogController - env_fog_controller
CBaseEntity - env_funnel
CEnvGasCanister - env_gascanister
CBaseEntity - env_global
CSprite - env_glow
CBaseEntity - env_gunfire
CBaseEntity - env_hudhint
CBaseEntity - env_instructor_hint
CBeam - env_laser
CLightGlow - env_lightglow
CBaseEntity - env_message
CBaseEntity - env_microphone
MovieExplosion - env_movieexplosion
CBaseEntity - env_muzzleflash
CBaseEntity - env_outtro_stats
CParticlePerformanceMonitor - env_particle_performance_monitor
CEntityParticleTrail - env_particle_trail
CParticleFire - env_particlefire
CBaseEntity - env_particlelight
CEnvParticleScript - env_particlescript
ParticleSmokeGrenade - env_particlesmokegrenade
CBaseEntity - env_physexplosion
CBaseEntity - env_physimpact
CBaseEntity - env_physwire
CBaseEntity - env_player_surface_trigger
CEnvProjectedTexture - env_projectedtexture
CEnvQuadraticBeam - env_quadraticbeam
CBaseEntity - env_ragdoll_boogie
RocketTrail - env_rockettrail
CBaseEntity - env_rotorshooter
CEnvScreenEffect - env_screeneffect
CEnvScreenOverlay - env_screenoverlay
CBaseEntity - env_shake
CBaseEntity - env_shooter
CSmokeStack - env_smokestack
SmokeTrail - env_smoketrail
CBaseEntity - env_soundscape
CBaseEntity - env_soundscape_proxy
CBaseEntity - env_soundscape_triggerable
CBaseEntity - env_spark
CBaseEntity - env_splash
SporeExplosion - env_sporeexplosion
SporeTrail - env_sporetrail
CSprite - env_sprite
CSprite - env_sprite_clientside
CSpriteOriented - env_sprite_oriented
CSpriteTrail - env_spritetrail
CSteamJet - env_steam
CSteamJet - env_steamjet
CSun - env_sun
CBaseEntity - env_texturetoggle
CBaseEntity - env_tilt
CEnvTonemapController - env_tonemap_controller
CBaseEntity - env_tracer
CBaseEntity - env_viewpunch
CEnvWind - env_wind
CBaseEntity - env_zoom
CBaseEntity - event_queue_saveload_proxy
CBaseEntity - filter_activator_class
CBaseEntity - filter_activator_context
CBaseEntity - filter_activator_mass_greater
CBaseEntity - filter_activator_model
CBaseEntity - filter_activator_name
CBaseEntity - filter_activator_team
CBaseEntity - filter_base
CBaseEntity - filter_damage_type
CBaseEntity - filter_enemy
CBaseEntity - filter_multi
CFireCrackerBlast - fire_cracker_blast
CFish - fish
