Handle    	Owner               	Type                	Memory    
--------------------------------------------------------------------------
0x00010001	NONE                	Identity            	-1        
0x00060006	NONE                	ConVar              	112       
0x000b000b	PLUGINSYS           	Plugin              	5111      
0x000d000d	PLUGINSYS           	Plugin              	5166      
0x000f000f	PLUGINSYS           	Plugin              	5117      
0x00100010	eitems.smx          	GlobalFwd           	28        
0x00110011	eitems.smx          	GlobalFwd           	4         
0x00140014	PLUGINSYS           	Plugin              	5165      
0x00170017	PLUGINSYS           	Plugin              	5121      
0x00190019	PLUGINSYS           	Plugin              	5165      
0x001b001b	PLUGINSYS           	Plugin              	5185      
0x00200020	PLUGINSYS           	Plugin              	5100      
0x00220022	PLUGINSYS           	Plugin              	5100      
0x00240024	PLUGINSYS           	Plugin              	5199      
0x00270027	PLUGINSYS           	Plugin              	5117      
0x00280028	reloadprogressbar.sm	GlobalFwd           	16        
0x00290029	reloadprogressbar.sm	GlobalFwd           	4         
0x002a002a	reloadprogressbar.sm	GlobalFwd           	4         
0x002d002d	PLUGINSYS           	Plugin              	5170      
0x002e002e	weapons.smx         	GlobalFwd           	4         
0x002f002f	weapons.smx         	GlobalFwd           	4         
0x00320032	PLUGINSYS           	Plugin              	5117      
0x00340034	PLUGINSYS           	Plugin              	5174      
0x00350035	keys/Keys_Core.smx  	GlobalFwd           	16        
0x00370037	PLUGINSYS           	Plugin              	5112      
0x00390039	PLUGINSYS           	Plugin              	5136      
0x003b003b	PLUGINSYS           	Plugin              	5111      
0x003f003f	PLUGINSYS           	Plugin              	5112      
0x00410041	PLUGINSYS           	Plugin              	5112      
0x00430043	PLUGINSYS           	Plugin              	5112      
0x00450045	PLUGINSYS           	Plugin              	5111      
0x00470047	PLUGINSYS           	Plugin              	5112      
0x00490049	PLUGINSYS           	Plugin              	5113      
0x004b004b	PLUGINSYS           	Plugin              	5108      
0x004d004d	PLUGINSYS           	Plugin              	5129      
0x004f004f	PLUGINSYS           	Plugin              	5177      
0x00510051	PLUGINSYS           	Plugin              	5111      
0x00530053	PLUGINSYS           	Plugin              	5162      
0x00550055	PLUGINSYS           	Plugin              	5203      
